isodate,animal,date,ndays,nFertilized,nEggs,pFert,whorln,group,mate,categ
29-Apr,A2,28-Apr,-1,328,340,96.5,1,A,A,AA
29-Apr,A2,4-May,5,19,21,90.5,2,A,A,AA
29-Apr,A2,9-May,10,238,459,51.9,3,A,A,AA
29-Apr,A2,15-May,16,400,410,97.6,4,A,A,AA
29-Apr,A2,19-May,20,372,415,89.6,5,A,A,AA
29-Apr,A2,22-May,23,413,458,90.2,6,A,A,AA
29-Apr,A2,25-May,26,67,324,20.7,7,A,A,AA
29-Apr,A2,28-May,29,515,568,90.7,8,A,A,AA
29-Apr,A2,31-May,32,643,695,92.5,9,A,A,AA
29-Apr,A2,3-Jun,35,576,611,94.3,10,A,A,AA
29-Apr,A2,5-Jun,37,552,576,95.8,11,A,A,AA
29-Apr,A2,8-Jun,40,351,357,98.3,12,A,A,AA
29-Apr,A2,13-Jun,45,206,210,98.1,13,A,A,AA
29-Apr,A2,15-Jun,47,283,290,97.6,14,A,A,AA
29-Apr,A2,19-Jun,51,411,471,87.3,15,A,A,AA
29-Apr,A2,21-Jun,53,433,445,97.3,16,A,A,AA
29-Apr,A2,25-Jun,57,537,560,95.9,17,A,A,AA
29-Apr,A2,1-Jul,63,630,703,89.6,18,A,A,AA
29-Apr,A2,5-Jul,67,519,530,97.9,19,A,A,AA
29-Apr,A2,7-Jul,69,301,308,97.7,20,A,A,AA
29-Apr,A2,11-Jul,73,609,616,98.9,21,A,A,AA
29-Apr,A2,13-Jul,75,567,585,96.9,22,A,A,AA
29-Apr,A2,16-Jul,78,532,601,88.5,23,A,A,AA
29-Apr,A2,17-Jul,79,435,452,96.2,24,A,A,AA
29-Apr,A2,20-Jul,82,15,681,2.2,25,A,A,AA
29-Apr,A2,22-Jul,84,447,491,91,26,A,A,AA
29-Apr,A2,23-Jul,85,550,604,91.1,27,A,A,AA
29-Apr,A2,25-Jul,87,84,645,13,28,A,A,AA
29-Apr,A2,27-Jul,89,80,543,14.7,29,A,A,AA
29-Apr,A2,28-Jul,90,160,253,63.2,30,A,A,AA
29-Apr,A2,29-Jul,91,164,268,61.2,31,A,A,AA
29-Apr,A2,31-Jul,93,361,432,83.6,32,A,A,AA
29-Apr,A2,2-Aug,95,520,625,83.2,33,A,A,AA
29-Apr,A2,4-Aug,97,208,304,68.4,34,A,A,AA
29-Apr,A2,6-Aug,99,233,430,54.2,35,A,A,AA
29-Apr,A2,8-Aug,101,287,410,70,36,A,A,AA
29-Apr,A2,10-Aug,103,199,440,45.2,37,A,A,AA
29-Apr,A2,15-Aug,108,162,414,39.1,38,A,A,AA
29-Apr,A3,30-Apr,1,189,206,91.7,1,A,A,AA
29-Apr,A3,4-May,5,1,13,7.7,2,A,A,AA
29-Apr,A3,9-May,10,175,374,46.8,3,A,A,AA
29-Apr,A3,13-May,14,238,269,88.5,4,A,A,AA
29-Apr,A3,19-May,20,64,360,17.8,5,A,A,AA
6-Jun,B1,2-Jun,-4,162,225,72,1,A,L,AL
6-Jun,B1,5-Jun,-1,188,192,97.9,2,A,L,AL
6-Jun,B1,12-Jun,6,364,375,97.1,3,A,L,AL
6-Jun,B6,2-Jun,-4,197,249,79.1,1,A,L,AL
6-Jun,B6,5-Jun,-1,262,278,94.2,2,A,L,AL
6-Jun,B6,8-Jun,2,303,323,93.8,3,A,L,AL
6-Jun,B6,11-Jun,5,7,216,3.2,4,A,L,AL
6-Jun,B6,15-Jun,9,0,255,0,5,A,L,AL
6-Jun,B6,20-Jun,14,0,445,0,6,A,L,AL
7-Jun,C1,4-Jun,-3,358,364,98.4,1,A,L,AL
7-Jun,C1,7-Jun,0,125,162,77.2,2,A,L,AL
7-Jun,C1,11-Jun,4,78,91,85.7,3,A,L,AL
7-Jun,C1,18-Jun,11,454,534,85,4,A,L,AL
7-Jun,C1,19-Jun,12,0,171,0,5,A,L,AL
7-Jun,C1,20-Jun,13,238,306,77.8,6,A,L,AL
7-Jun,C1,23-Jun,16,92,349,26.4,7,A,L,AL
7-Jun,C1,25-Jun,18,171,364,47,8,A,L,AL
7-Jun,C1,28-Jun,21,171,429,39.9,9,A,L,AL
7-Jun,C1,1-Jul,24,161,478,33.7,10,A,L,AL
7-Jun,C1,4-Jul,27,125,170,73.5,11,A,L,AL
7-Jun,C1,7-Jul,30,92,237,38.8,12,A,L,AL
7-Jun,C1,11-Jul,34,266,613,43.4,13,A,L,AL
7-Jun,C1,12-Jul,35,48,207,23.2,14,A,L,AL
7-Jun,C1,13-Jul,36,48,127,37.8,15,A,L,AL
7-Jun,C1,15-Jul,38,173,316,54.7,16,A,L,AL
7-Jun,C1,17-Jul,40,154,284,54.2,17,A,L,AL
7-Jun,C1,20-Jul,43,1,246,0.4,18,A,L,AL
7-Jun,C1,28-Jul,51,1,600,0.2,19,A,L,AL
7-Jun,C1,29-Jul,52,0,142,0,20,A,L,AL
7-Jun,C1,31-Jul,54,1,241,0.4,21,A,L,AL
7-Jun,C1,4-Aug,58,0,593,0,22,A,L,AL
7-Jun,C1,6-Aug,60,120,393,30.5,23,A,L,AL
7-Jun,C1,8-Aug,62,4,370,1.1,24,A,L,AL
